Date,Open,High,Low,Close,Adj Close,Volume
2016-08-24,5.228474,5.284997,4.983536,5.340000,5.030639,659400
2016-08-25,5.030639,5.162529,5.002378,5.400000,5.087163,323800
2016-08-26,5.087163,5.237894,5.021218,5.360000,5.049481,460700
2016-08-29,5.068322,5.143687,4.945853,5.360000,5.049481,566600
2016-08-30,5.077742,5.228474,5.077742,5.540000,5.219052,522200
2016-08-31,5.190791,5.247315,5.096583,5.520000,5.200211,312600
2016-09-01,5.143687,5.153108,4.945853,5.440000,5.124846,449800
2016-09-02,5.134266,5.407466,5.087163,5.530000,5.209632,1606600
2016-09-06,5.266156,5.435728,5.209632,5.690000,5.360363,349400
2016-09-07,5.350942,5.699507,5.350942,6.020000,5.671245,954100
2016-09-08,5.737190,6.189382,5.718349,6.520000,6.142279,1925600
2016-09-09,6.066913,6.302430,5.586459,6.150000,5.793714,1879300
2016-09-12,5.624141,5.897342,5.454569,6.040000,5.690086,993100
2016-09-13,5.529935,5.595880,5.219052,5.610000,5.284997,1424100
2016-09-14,5.284997,5.426308,5.115426,5.470000,5.153108,864500
2016-09-15,5.143687,5.360363,5.143687,5.570000,5.247315,534500
2016-09-16,5.143687,5.388624,5.096583,5.480000,5.162529,3393100
2016-09-19,5.275576,5.350942,4.945853,5.280000,4.974115,1528500
2016-09-20,4.992957,5.021218,4.795122,5.130000,4.832805,1018400
2016-09-21,4.908170,5.011798,4.757440,5.160000,4.861067,1189700
2016-09-22,4.992957,5.219052,4.927012,5.460000,5.143687,1308100
2016-09-23,5.153108,5.369783,5.115426,5.540000,5.219052,888800
2016-09-26,5.219052,5.445149,5.181370,5.700000,5.369783,1178900
2016-09-27,5.256735,5.360363,5.143687,5.650000,5.322680,1095800
2016-09-28,5.379204,5.840817,5.360363,6.200000,5.840817,1537500
2016-09-29,5.793714,5.916183,5.454569,6.080000,5.727769,1133900
2016-09-30,5.850238,5.991548,5.642982,6.320000,5.953866,1006300
2016-10-03,5.972706,6.038651,5.812555,6.390000,6.019810,1459100
2016-10-04,6.029231,6.066913,5.812555,6.260000,5.897342,1051900
2016-10-05,5.991548,6.302430,5.925603,6.580000,6.198802,967000
2016-10-06,6.217644,6.283588,6.048072,6.500000,6.123437,471000
2016-10-07,6.085754,6.227065,5.953866,6.410000,6.038651,367800
2016-10-10,6.123437,6.302430,6.076334,6.520000,6.142279,391400
2016-10-11,6.085754,6.170540,5.812555,6.290000,5.925603,616400
2016-10-12,5.887920,5.887920,5.737190,6.140000,5.784293,187900
2016-10-13,5.737190,5.878499,5.595880,6.090000,5.737190,289300
2016-10-14,5.774873,5.878499,5.690086,6.140000,5.784293,287900
2016-10-17,5.746610,5.812555,5.661825,6.140000,5.784293,353500
2016-10-18,5.916183,6.000968,5.774873,6.330000,5.963286,268200
2016-10-19,6.019810,6.198802,5.972706,6.430000,6.057492,462000
2016-10-20,6.000968,6.123437,5.925603,6.410000,6.038651,185500
2016-10-21,5.972706,6.076334,5.859658,6.360000,5.991548,438900
2016-10-24,5.982127,6.104596,5.869079,6.390000,6.019810,173500
2016-10-25,6.019810,6.057492,5.925603,6.360000,5.991548,141900
2016-10-26,5.869079,6.057492,5.869079,6.370000,6.000968,169500
2016-10-27,6.019810,6.114016,5.972706,6.340000,5.972706,211900
2016-10-28,5.935024,6.029231,5.812555,6.230000,5.869079,294300
2016-10-31,5.840817,5.840817,5.567617,5.980000,5.633562,514600
2016-11-01,5.737190,5.765451,5.520514,6.060000,5.708928,896300
2016-11-02,5.536221,5.612979,5.382703,5.690000,5.459462,449800
2016-11-03,5.353919,5.689738,4.931746,5.310000,5.094858,1074700
2016-11-04,5.104453,5.114048,4.826203,5.130000,4.922151,625600
2016-11-07,5.056479,5.162022,4.902962,5.140000,4.931746,402400
2016-11-08,4.893366,5.056479,4.768634,5.140000,4.931746,400100
2016-11-09,4.912556,5.305945,4.893366,5.510000,5.286755,393100
2016-11-10,5.334729,5.449867,5.219591,5.580000,5.353919,401900
2016-11-11,5.296350,5.421082,5.200401,5.590000,5.363513,190500
2016-11-14,5.392298,5.536221,5.315539,5.710000,5.478652,425600
2016-11-15,5.517031,5.670548,5.469057,5.840000,5.603384,340800
2016-11-16,5.584195,5.612979,5.440272,5.700000,5.469057,305000
2016-11-17,5.574600,5.612979,5.325135,5.580000,5.353919,223000
2016-11-18,5.373108,5.382703,5.209996,5.460000,5.238780,313900
2016-11-21,5.373108,5.632169,5.296350,5.780000,5.545815,938500
2016-11-22,5.517031,5.612979,5.238780,5.560000,5.334729,652700
2016-11-23,5.277160,5.373108,5.248375,5.490000,5.267565,349700
2016-11-25,5.229186,5.305945,5.027694,5.290000,5.075668,369400
2016-11-28,5.123643,5.305945,4.998909,5.300000,5.085264,1026500
2016-11-29,4.960531,5.123643,4.787823,5.030000,4.826203,922600
2016-11-30,5.267565,5.459462,5.133237,5.470000,5.248375,1699400
2016-12-01,5.373108,5.411488,4.912556,5.190000,4.979720,1018400
2016-12-02,4.970125,5.123643,4.922151,5.240000,5.027694,2308700
2016-12-05,5.046884,5.181211,4.989315,5.270000,5.056479,565300
2016-12-06,4.979720,5.162022,4.874177,5.250000,5.037289,707700
2016-12-07,5.037289,5.123643,4.893366,5.170000,4.960531,769500
2016-12-08,4.989315,5.075668,4.902962,5.270000,5.056479,667100
2016-12-09,5.056479,5.075668,4.912556,5.130000,4.922151,642200
2016-12-12,4.931746,4.989315,4.701470,5.110000,4.902962,2526500
2016-12-13,4.950935,4.960531,4.768634,5.120000,4.912556,1018500
2016-12-14,4.816607,4.854987,4.586332,4.870000,4.672685,1136100
2016-12-15,4.720660,4.759039,4.547952,4.850000,4.653495,694900
2016-12-16,4.691875,4.845392,4.615116,5.000000,4.797418,3635900
2016-12-19,4.797418,4.931746,4.720660,5.070000,4.864582,787800
2016-12-20,4.893366,5.056479,4.864582,5.100000,4.893366,626000
2016-12-21,4.931746,4.989315,4.893366,5.140000,4.931746,1056600
2016-12-22,4.960531,5.056479,4.941341,5.170000,4.960531,799900
2016-12-23,4.998909,5.008504,4.797418,5.050000,4.845392,565000
2016-12-27,4.787823,4.941341,4.787823,5.120000,4.912556,566900
2016-12-28,4.902962,4.960531,4.787823,5.080000,4.874177,819600
2016-12-29,4.874177,4.883772,4.739850,4.940000,4.739850,496100
2016-12-30,4.749444,4.874177,4.711064,5.060000,4.854987,529500
2017-01-03,4.941341,5.219591,4.931746,5.420000,5.200401,755700
2017-01-04,5.190806,5.325135,5.142833,5.510000,5.286755,600700
2017-01-05,5.325135,5.469057,5.257970,5.630000,5.401893,525000
